b0001	P0AD86
b1664	P77552
b1667	P0ACX3
b1668	P77148
b1669	P77147
b1670	P77409
b1671	P77375
b1672	P77564
b1673	P76192
b1674	P0AAL6
b1675	P0ACX5
b1676	P0AD61
b1677	P69776
b1678	P76193
b1679	P76194
b1680	P77444
b1681	P77689
b1682	P77499
b1683	P77522
b1684	P77667
b1685	P64476
b1686	P77781
b1687	P77748
b1688	P0AFS7
b1689	P76196
b1690	P76197
b1691	P76198
b1692	P0A6D5
b1693	P05194
b1694	P37766
b1695	P0A9U8
b1696	P77402
b1697	P76201
b1698	P77378
b1699	P77337
b1700	P77714
b1701	P38135
b1702	P23538
b1703	P0A8A4
b1704	P00887
b1705	P0ACX9
b1706	P77649
b1707	P76204
b1708	P23898
b1709	P06611
b1710	P06610
b1711	P06609
b1712	P0A6X7
b1713	P07395
b1714	P08312
b1715	P0AD74
b1716	P0A7L3
b1717	P0A7Q1
b1718	P0A707
b1719	P0A8M3
b4535	Q2EES1
b1722	P76206
b1723	P06999
b1724	P64479
b1725	P77739
b1726	P76208
b1727	P77247
b1728	P64481
b1729	P77529
b1730	P76210
b1731	P0AE60
b1732	P21179
b1733	P37794
b1734	P17411
b1735	P17410
b1736	P69791
b1737	P17334
b1738	P69795
b1739	P0ADB1
b1740	P18843
b1741	P76213
b1742	P76214
b1743	P77754
b1744	P76215
b1745	P76216
b1746	P76217
b1747	P0AE37
b1748	P77581
b1749	P09030
b1750	P76219
b1751	P76220
b1752	P76221
b1753	P76222
b1754	P76223
b1755	P76224
b1756	P76909
b1757	P78067
b1758	P76226
b1759	P77788
b1760	P76227
b1761	P00370
b1762	P76228
b1763	P14294
b1764	P16456
b1765	P0ACY1
b1766	P08395
b1767	P0A962
b1768	P21369
b1769	P38055
b1770	P77721
b1771	P77256
b1772	P77493
b1773	P77704
b1774	P77280
b1775	P76230
b1776	P77539
b1777	P76231
b1778	P0A746
b1779	P0A9B2
b1780	P39173
b1781	P76234
b1782	P0A908
b1783	P0ACY3
b1784	P76235
b1785	P76236
b1786	P76237
b1787	P64483
b1788	P76239
b1789	P0ACY6
b1790	P76241
b1791	P76242
b1792	P76243
b1793	P64493
b1794	P76245
b4676	C1P602
b4675	C1P603
b1795	P64485
b1796	P64496
b1797	P64488
b1798	P76249
b1799	P76250
b1800	P76251
b1801	P0ABD1
b1802	P0ABR7
b1803	P76254
b1804	P09155
b1805	P69451
b1806	P0AA91
b1807	P76256
b1808	P76257
b1809	P0AEB7
b1810	P64490
b1811	P67338
b1812	P05041
b1813	P43337
b1814	P16095
b1815	P76261
b1816	P0AEC0
b1817	P69797
b1818	P69801
b1819	P69805
b1820	P67601
b1821	P76264
b1822	P36999
b1823	P0A9Y6
b1824	P64508
b1825	P64499
b1826	P64512
b4536	Q2MB16
b1827	P76268
b1828	P76269
b1829	P23894
b1830	P23865
b1831	P45577
b1832	P76270
b1833	P0AD03
b1834	P76272
b1835	P76273
b1836	P64503
b1837	P76275
b1838	P55798
b1839	P64506
b1840	P76278
b1841	P0AA57
b1842	P0ABS8
b1843	P76280
b1844	P0AEK0
b1845	P24555
b1846	P33218
b1847	P33219
b1848	P0ACY9
b1849	P33221
b1850	P0A955
b1851	P0ADF6
b1852	P0AC53
b1853	P46118
b1854	P21599
b1855	P24205
b1856	P0AFS9
b1857	P39172
b1858	P0A9X1
b1859	P39832
b1860	P0A812
b1861	P0A809
b4677	C1P604
b1862	P24238
b1863	P0A814
b1864	P0A8A0
b1865	P0AFC0
b1866	P21889
b1867	P0ADI7
b1868	P37348
b1869	P64515
b1870	P76290
b1871	P76291
b1872	P46923
b1873	P52005
b1874	P67826
b1875	P52007
b1876	P11875
b1877	P76296
b1878	P76297
b1879	P76298
b1880	P76299
b1881	P0A9H9
b1882	P0AE67
b1883	P07330
b1884	P07364
b1885	P07018
b1886	P07017
b1887	P0A964
b1888	P07363
b1889	P0AF06
b1890	P09348
b1891	P0ABY7
b1892	P0A8S9
b1893	P0CF30
b1894	P0CF13
b1895	P46888
b1896	P31677
b1897	P31678
b4460	P0AE26
b1900	P0AAF3
b1901	P02924
b1902	P0A9A2
b4537	P0AD10
b4663	C1P605
b1904	P76308
b1905	P0A998
b1906	P46887
b1907	P0AAD4
b1908	P0AD05
b1912	P0ABF8
b1913	P0A8G0
b1914	P0AED5
b1915	P0AD07
b1916	P07026
b1917	P37774
b1918	P0AFT2
b1919	P76316
b1920	P0AEM9
b1921	P52627
b1922	P0AEM6
b1923	P04949
b1924	P24216
b1925	P26608
b1926	P0ABY2
b1927	P26612
b1928	P31063
b1929	P31064
b1930	P0AA31
b1931	P76318
b1932	P76319
b1937	P0A8T5
b1938	P25798
b1939	P0ABZ1
b1940	P31068
b1941	P52612
b1942	P52613
b1943	P52614
b1944	P0ABX8
b1945	P06974
b1946	P15070
b1947	P22586
b1948	P0AC05
b1949	P0AC07
b1950	P33135
b1951	P69405
b1952	P0AEG8
b1953	P64519
b1955	P76329
b1956	P76330
b1957	P64517
b1958	P46125
b1959	P0AA70
b1960	P09184
b1961	P0AED9
b1962	P46144
b1963	P76334
b1967	P31658
b1968	P76339
b1969	P76340
b1970	P76341
b1971	P76342
b1972	P76343
b1973	P76344
b1974	P76345
b1976	P76346
b1978	P76347
b1981	P76350
b1982	P0AE12
b1983	P0A8A2
b1985	P76352
b1987	Q47083
b1988	Q47005
b1990	P39176
b1991	P36562
b1992	P36561
b1993	P0AE76
b1994	P0CE53
b1996	P0CF55
b1997	P0CF42
b2000	P39180
b2001	P76361
b2002	P76362
b2003	P64521
b2004	P76364
b2005	P64524
b2007	P0A8M6
b2008	P33011
b2009	P33012
b2010	P33013
b2011	P04995
b2012	P33014
b2013	P33015
b2014	P0AA47
b4678	C1P606
b2015	P76369
b2016	P0AD12
b4539	P69348
b2017	P69346
b2018	P60995
b2019	P60757
b2020	P06988
b2021	P06986
b2022	P06987
b2023	P60595
b2024	P10371
b2025	P60664
b2026	P06989
b2027	P76372
b2028	P76373
b2029	P00350
b2030	P0CE54
b2032	P37751
b2033	P37750
b2034	P37749
b2035	P37748
b2036	P37747
b2037	P37746
b2038	P37745
b2039	P37744
b2040	P37760
b2041	P37759
b2042	P0AAB6
b2043	P71244
b2044	P71243
b2045	P71242
b2046	P77377
b2047	P71241
b2048	P24175
b2049	P24174
b2050	P32057
b2051	P32056
b2052	P32055
b2053	P0AC88
b2054	P0ACD2
b2055	P71239
b2056	P71238
b2057	P71237
b2058	P0ACC9
b2059	P77414
b2060	P76387
b2061	P0AAB2
b2062	P0A930
b2063	P76389
b2064	P28249
b2065	P28248
b2066	P0A8F4
b2067	P38097
b2068	P04395
b2069	P36928
b2070	P76393
b2071	P76394
b2072	P76395
b2073	P76396
b4667	C1P607
b4668	C1P608
b2074	P76397
b2075	P76398
b2076	P76399
b2077	P36554
b2078	P30847
b2079	P69228
b2080	P76402
b2081	P76403
b2082	P37057
b2085	P76406
b2086	P76407
b2088	P0CF70
b2089	P0CF83
b2091	P0A9S3
b2093	P37188
b2094	P69828
b2095	P0C8J8
b2096	P0C8J6
b2097	P0A991
b2098	P76417
b2099	P76418
b2100	P76419
b2101	P0ACM5
b2102	P76421
b2103	P76422
b2104	P76423
b2105	P64530
b2106	P76425
b2107	P64534
b2108	P33340
b2109	P33341
b2110	P33342
b2111	P33343
b2112	P33344
b2113	P0AF08
b2114	P00959
b2118	P33346
b4541	P33347
b2119	P33348
b2120	P33349
b2121	P33352
b2123	P33354
b2124	P33355
b2125	P0AFT5
b2126	P0AD14
b2127	P33358
b4542	Q2EES6
b2128	P33359
b2129	P33360
b2130	P33361
b2131	P33362
b2132	P33363
b2133	P06149
b2134	P0AFI5
b2135	P0AD17
b2136	P33366
b2137	P33368
b4679	C1P609
b2140	P33371
b2141	P60632
b2142	P0AD19
b2143	P0ABF6
b2144	P0AFY2
b2145	P64536
b2146	P76440
b2147	P25889
b2148	P23200
b2149	P0AAG8
b2150	P0AEE5
b2151	P25748
b2152	P25747
b2153	P0A6T5
b2154	P33018
b2155	P17315
b2156	P25737
b2157	P0ACR4
b2158	P62723
b2159	P0A6C1
b2160	P33020
b2161	P33021
b2162	P33022
b2163	P0A9E9
b2164	P33024
b2165	P33025
b2166	P30235
b2167	P20966
b2168	P0AEW9
b2169	P69811
b2170	P33026
b4502	P0AFT8
b2171	P0A6N8
b2172	P33029
b2173	P33030
b2174	P76445
b2175	P0AFV4
b2176	P76446
b2177	P33913
b2178	P0AFU0
b2179	P33915
b2180	P33916
b2181	P0AD21
b2182	P28246
b2183	P0AA43
b2184	P33919
b2185	P68919
b2186	P33920
b2187	P0AD24
b2188	P0AD27
b2192	P0CE55
b2193	P31802
b2194	P0ABM9
b2195	P0AA86
b2196	P33927
b2197	P69490
b2198	P0ABM5
b2199	P0ABM1
b2200	P0ABL8
b2201	P33931
b2202	P0ABL5
b2203	P0ABL3
b2204	P33934
b2205	P0AAL3
b2206	P33937
b2207	P0A9I5
b2208	P0AAL0
b2209	P23827
b2210	P33940
b2211	P33941
b2212	P05050
b2213	P06134
b2214	P0AB85
b2215	P06996
b2216	P39838
b2217	P69407
b2218	P14376
b2219	Q06067
b2220	Q06065
b2221	P76458
b2222	P76459
b2223	P76460
b2224	P76461
b2225	P76462
b2226	P76463
b2229	P76466
b2230	P17994
b2231	P0AES4
b2232	P17993
b2233	P45508
b2234	P00452
b2235	P69924
b2236	P0ABW3
b2237	P27294
b2239	P09394
b2240	P08194
b2241	P0A9C0
b2242	P13033
b2243	P0A996
b2244	P37014
b4543	b4543
b2245	P76469
b2246	P76470
b2247	P77215
b2248	P77732
b2249	P77808
b2250	P76471
b2251	P52006
b2252	P45565
b2253	P77690
b2254	P77757
b2255	P77398
b2256	P76472
b2257	P76473
b4544	Q47377
b2258	P76474
b2259	P37590
b2260	P37353
b2261	P29208
b2262	P0ABU0
b2263	P37355
b2264	P17109
b2265	P38051
b2266	P0AEH5
b2267	P0AEH3
b2268	P0A8V0
b2269	Q47013
b2270	P76481
b2271	P76482
b2272	P76483
b2273	P76484
b2274	P76485
b2275	P76486
b2276	P0AFF0
b2277	P0AFE8
b2278	P33607
b2279	P0AFE4
b2280	P0AFE0
b2281	P0AFD6
b2282	P0AFD4
b2283	P33602
b2284	P31979
b2285	P0AFD1
b2286	P33599
b2287	P0AFC7
b2288	P0AFC3
b2289	P36771
b2290	P0A959
b2291	P76491
b2292	P0AFU2
b2293	P77625
b2294	P0A8W8
b2295	P0A8D9
b2296	P0A6A3
b2297	P0A9M8
b2298	P39263
b2299	P65556
b2300	P67095
b2301	P77544
b2302	P77526
b2303	P0AC19
b2304	P77775
b2305	P77768
b2306	P07109
b2307	P0AEU3
b2308	P52094
b2309	P0AEU0
b2310	P09551
b2311	P0AG03
b2312	P0AG16
b2313	P08550
b2314	P09549
b2315	P08192
b2316	P0A9Q5
b2317	P0ABP6
b2318	P07649
b2319	P08390
b2320	P05459
b2321	P15286
b2322	P77549
b2323	P0A953
b2324	P77182
b2325	P64540
b2326	P76938
b2327	P0AD30
b2328	P0C0T5
b2329	P12008
b2330	P39199
b2331	P0A8B2
b2332	P76498
b2333	P76499
b2334	P76500
b2335	P76501
b2336	P77599
b2339	P77288
b2340	P76502
b2341	P77399
b2342	P76503
b2343	P0AD33
b2344	P10384
b2345	P76505
b2346	P76506
b2347	P37327
b2349	P37326
b2350	P77682
b2351	P77293
b2352	P76507
b2354	P77656
b2357	P76510
b2359	P76512
b2360	P76513
b2361	P76514
b2362	P76515
b2363	P76516
b4501	Q2EES9
b2364	P46068
b2365	P08555
b2366	P00926
b2367	P52600
b2368	P52599
b2369	P0ACZ4
b2370	P30855
b2371	P76518
b2372	P0AA49
b2373	P0AFI0
b2374	P69902
b2375	P76520
b2376	O32528
b2377	P76521
b2378	P0ACV2
b4680	C1P610
b2379	P77434
b2380	P0AA93
b2381	P0AE39
b2382	P77396
b2383	P77439
b2384	P77585
b2385	P76524
b2386	P77579
b2387	P69808
b2388	P0A6V8
b2389	P67729
b2390	P64542
b2392	P0A769
b2393	P0AFF2
b2394	P0CF93
b2395	P23842
b2398	P0AD37
b2399	P27238
b2400	P04805
b2405	P23841
b2406	P45562
b2407	P45563
b2408	P45564
b2409	P0ACR7
b2410	P39836
b4546	P0AD40
b2411	P15042
b2412	P77173
b2413	P0A6J3
b2414	P0ABK5
b2415	P0AA04
b2416	P08839
b2417	P69783
b2418	P40191
b2419	Q47702
b2420	P78271
b2421	P16703
b2422	P16676
b2423	P0AEB0
b2424	P16701
b2425	P16700
b2426	P37440
b2427	P77245
b2428	P76535
b2429	P77272
b2430	P77619
b2431	P76536
b2432	P76537
b2433	P76538
b2434	P76539
b2435	P36548
b2436	P36553
b2437	P36547
b2438	P76540
b2439	P76541
b2440	P19636
b2441	P0AEJ6
b2442	P76542
b2443	P76543
b2444	P76544
b2445	P76545
b2446	P76546
b2447	P76547
b2448	P76548
b2449	P76549
b2450	P76550
b2451	P76551
b2452	P76552
b2453	P76553
b2454	P77277
b2455	P77445
b2456	P0AEJ8
b2457	P0ABF4
b2458	P77218
b2459	P65643
b2460	P76555
b2461	P76556
b2462	P63746
b2463	P76558
b2464	P0A867
b2465	P33570
b2466	P76559
b2467	P37128
b2468	P37127
b2469	P27896
b2470	P24177
b4606	A5A621
b2471	P24178
b2472	P0AED7
b4547	Q2EET2
b2473	P76561
b2474	P76562
b2475	P64429
b2476	P0A7D7
b2477	P0A903
b2478	P0A6L2
b2479	P0A9I3
b2480	P0AE52
b2481	P23481
b2482	P23482
b2483	P77858
b2484	P77416
b2485	P0AEW1
b2486	P77437
b2487	P77329
b2488	P77423
b2489	P77668
b2490	P77453
b2491	P71229
b2492	P77733
b2493	P0AFI9
b2494	P66948
b2495	P76569
b2496	P69931
b2497	P0AGM7
b2498	P0A8F0
b2499	P08178
b2500	P08179
b2501	P0A7B1
b2502	P0AFL6
b2503	P77172
b2504	P64545
b2505	P65290
b2506	P76573
b2507	P04079
b2508	P0ADG7
b2509	P04994
b2510	P76575
b2511	P0A6P5
b2512	P77774
b2513	P76576
b2514	P60906
b2515	P62620
b2516	P27434
b2517	P36979
b2518	P0A763
b2519	P76577
b2520	P76578
b2521	P31142
b2522	P0AFZ1
b2523	P37095
b2524	P0C0L9
b2525	P0A9R4
b2526	P0A6Z1
b2527	P0A6L9
b2528	P0AAC8
b2529	P0ACD4
b2530	P0A6B7
b2531	P0AGK8
b2532	P0AE01
b2533	P0ADG4
b2534	P77538
b2535	P54901
b2536	Q47142
b2537	Q47141
b4706	b4706
b2538	P0ABR5
b2539	Q47140
b2540	P0ABW0
b2541	P0CI31
b2542	P77650
b2543	P0AD47
b2544	P76584
b2545	P77360
b2546	P77315
b2547	P77509
b2548	P77269
b2549	P76585
b2550	P76586
b2551	P0A825
b2552	P24232
b2553	P0A9Z1
b2554	P0AFU4
b2555	P0AD44
b2556	P52101
b2557	P15254
b2558	P0AGC5
b2559	P68398
b2560	P0AD42
b2561	P37767
b2562	P52102
b4687	C1P611
b2563	P24224
b2564	P0A794
b2565	P0A7H3
b2566	P06616
b2567	P0A7Y0
b2568	P00803
b2569	P60785
b2570	P46187
b2571	P0AFX9
b2572	P0AFX7
b2573	P0AGB6
b2574	P10902
b2575	P31825
b2576	P21507
b2577	P33634
b2578	P38101
b2579	P68066
b2580	P12295
b2581	P0AGJ5
b2582	P0AGG4
b2583	Q47319
b2584	P76594
b2585	P23830
b2586	P46126
b2587	P0AEX3
b2592	P63284
b2593	P33644
b2594	P33643
b2595	P0AC02
b2597	P0AD49
b2598	P0AD72
b2599	P0A9J8
b2600	P07023
b2601	P00888
b2602	P11289
b2603	P64548
b2604	P46139
b2605	P07021
b2606	P0A7K6
b2607	P0A873
b2608	P0A7X6
b2609	P0A7T3
b2610	P0AGD7
b2611	P64432
b4461	P37908
b2614	P09372
b2615	P0A7B3
b2616	P05824
b2617	P0A937
b2618	P52119
b2619	P0AGL5
b2620	P0A832
b2622	P32053
b2623	P52123
b2624	P33997
b2625	P52124
b2626	P52125
b2627	P52126
b2628	P52127
b2629	P52128
b2630	P52129
b2631	P52130
b2632	P52131
b2633	P52132
b2634	P52133
b2635	P52134
b2636	O52982
b2637	P52135
b2642	P52138
b2643	P52139
b2644	P52140
b4548	P58033
b2645	P52141
b2646	Q46953
b2647	P52143
b2659	P76621
b2660	P37339
b2661	P25526
b2662	P22256
b2663	P25527
b2664	P37338
b2665	P0ADE6
b2666	P0AE42
b2667	P77295
b2668	P55734
b2669	P0ACG1
b2670	P64550
b2671	P0AD53
b2672	P0ADQ7
b2673	P0AC65
b2674	P0A772
b2675	P39452
b2676	P37146
b2677	P14175
b2678	P14176
b2679	P0AFM2
b2682	P76630
b2683	P43667
b2684	P0ACR9
b2685	P27303
b2686	P0AEJ0
b2687	P45578
b2688	P0A6W9
b2689	P0ADR0
b2690	P77475
b2696	P69913
b2697	P00957
b2698	P33596
b2699	P0A7G6
b2700	P0A6G3
b2701	P41052
b2702	P56579
b2703	P56580
b2704	P05706
b2705	P05707
b2706	P15081
b2707	P15082
b2708	P17115
b2709	P37013
b2710	Q46877
b2711	P37596
b2712	P30131
b2713	P0AAK4
b2714	P24242
b2715	P24241
b2716	P24240
b2717	P0AEV9
b2718	P0AEV7
b2719	P16433
b2720	P16432
b2721	P16431
b2722	P16430
b2723	P16429
b2724	P0AAK1
b2725	P0AEV4
b2726	P0A700
b2727	P0AAN3
b2728	P0AAM3
b2729	P24192
b2730	P24193
b2731	P19323
b2732	P25728
b2733	P23909
b2734	P55799
b2735	P52598
b2736	Q46888
b2737	Q46889
b2738	Q46890
b2739	Q46891
b2740	Q46892
b2741	P13445
b2742	P0ADA3
b2743	P0A7A5
b2744	P0A840
b2745	Q57261
b2746	P62617
b2747	Q46893
b2748	P0A6S5
b2749	P46141
b2750	P0A6J1
b2751	P23845
b2752	P21156
b2753	P10423
b2754	P45956
b2755	Q46896
b2756	Q46897
b2757	Q46898
b2758	Q46899
b2759	P76632
b2760	Q46901
b2761	P38036
b2762	P17854
b2763	P17846
b2764	P38038
b2765	P65870
b2766	Q46904
b2767	Q46905
b2768	Q46906
b2769	Q46907
b2770	Q46908
b2771	Q46909
b4463	Q46911
b2774	P76633
b2775	P77031
b2776	P55138
b2777	P64554
b4682	C1P612
b2778	P55140
b2779	P0A6P9
b2780	P0A7E5
b2781	P0AEY3
b2782	P0AE70
b2783	P0AE72
b2784	P0AG20
b2785	P55135
b2786	P0AEC5
b2787	P0AES2
b2788	Q46915
b2789	Q46916
b2790	P65367
b2791	P0AA41
b2792	Q46919
b2793	P0A8U0
b2794	Q46920
b2795	P0ADR8
b2796	P0AAD6
b2797	P30744
b2798	P38506
b2799	P0A9S1
b2800	P0AB87
b2801	P11551
b2802	P69922
b2803	P11553
b2804	P0AEN8
b2805	P0ACK8
b2806	P0ADR6
b2807	P0ADR2
b2808	P0A9F6
b2809	P65292
b2810	Q46925
b2811	P0AGF2
b2812	Q46927
b2813	P0A935
b2817	P63883
b2818	P0A6C5
b2819	P04993
b2820	P08394
b2821	P05458
b2822	P07648
b2823	P08372
b2824	P08370
b2825	P08371
b2826	P33554
b2827	P0A884
b2828	P60955
b2829	P37177
b2830	P0A776
b2831	P06722
b2832	P67127
b2833	P65294
b2834	P0A9T4
b2835	P39196
b2836	P31119
b2837	P03024
b2838	P00861
b2839	P03030
b2840	P03813
b2841	P0AE24
b2842	P37769
b2843	Q46938
b2844	Q46939
b2845	P63340
b2846	Q46941
b2847	Q46942
b2848	Q46943
b4683	C1P613
b2849	P77136
b2851	Q46787
b2852	P76639
b2853	Q46789
b2860	P0CF56
b2861	P0CF43
b2865	Q46798
b2866	Q46799
b2867	Q46800
b2868	Q46801
b2869	Q46802
b2870	Q46803
b2871	P66899
b2872	P65807
b2873	Q46806
b2874	Q46807
b2875	Q46808
b2876	Q46809
b2877	Q46810
b2878	Q46811
b2879	Q46812
b2880	P64557
b2881	Q46814
b2882	P67444
b2883	P76641
b4464	Q46817
b2886	Q46819
b2887	Q46820
b2888	Q46821
b4684	C1P614
b2889	Q46822
b2890	P0A8N3
b2891	P07012
b2892	P21893
b2893	P0AEG6
b2894	P0A8P8
b2895	P0ABY4
b2896	Q46824
b2897	P64559
b2898	P0ADE8
b2899	P67153
b2900	P67603
b2901	Q46829
b2902	P52037
b2903	P33195
b2904	P0A6T9
b2905	P27248
b2906	P25535
b2907	P25534
b2908	P15034
b2909	P0A8C4
b2910	P0ADS2
b2912	P0AC28
b4665	C1P615
b2913	P0A9T0
b2914	P0A7Z0
b2916	P0A8S1
b2917	P27253
b2918	P27254
b2919	P52045
b2920	P52043
b2921	P52044
b2922	P0ADS6
b2923	P11667
b2924	P0C0S1
b2925	P0AB71
b2926	P0A799
b2927	P0A9B6
b2928	P11664
b2929	P11663
b2930	P21437
b4465	P52048
b2933	P69826
b2934	P69824
b2935	P27302
b2936	P25894
b2937	P60651
b2938	P21170
b2939	P64567
b2940	P64570
b2942	P0A817
b2943	P0AEP1
b2944	P39902
b2945	P25736
b2946	P0AGL7
b2947	P04425
b2948	P0A8W5
b2949	P0A8I1
b2950	P52052
b2951	P67080
b2952	P64564
b2953	P52060
b2954	P52061
b2955	P52062
b2956	P46142
b2957	P00805
b2958	P0ADS9
b2959	P38521
b2960	P0A8I5
b2961	P17802
b2962	P0A8P3
b2963	P0C066
b2964	P0AFF4
b2965	P21169
b2966	Q46831
b2968	Q46832
b2971	Q46835
b2972	Q46836
b4466	P0CK95
b2975	Q46839
b2976	P37330
b2977	P0AEQ1
b4467	P52074
b4468	P52073
b2979	P0AEP9
b2980	P0ACL5
b2982	P0CE56
b2983	Q46841
b2984	P64572
b2985	Q46843
b2986	Q46844
b2987	P43676
b2988	P0AES0
b2989	Q46845
b2990	P0AAM7
b2991	P0A703
b2992	P0AAN1
b2993	P37182
b2994	P0ACE0
b2995	P37180
b2996	P0AAJ8
b2997	P69741
b2998	P64574
b3001	Q46851
b3002	P67244
b3003	P0AG84
b3005	P0ABV2
b3006	P0ABU7
b3008	P06721
b3009	P0AA60
b3010	Q46855
b3011	Q46856
b3012	Q46857
b3013	Q46858
b3014	P65298
b4469	Q46861
b3017	P26648
b3018	P26647
b3019	P0AFI2
b3020	Q46863
b3021	Q46864
b3022	Q46865
b3023	Q46866
b3024	P0ADU5
b3025	P52076
b3026	P40719
b3027	Q46867
b3028	P0AEY5
b3029	P0ADU2
b3030	P20083
b3031	P0A8Z7
b3032	P0AEW4
b3033	P0ADU7
b3034	Q93K97
b3035	P02930
b3037	P0ADT2
b3038	P0ADT5
b3039	P24197
b3040	P0A8H3
b3041	P0A7J0
b3042	Q46868
b3043	P39834
b3044	P0CF44
b3045	P0CF57
b3047	P77616
b3048	P76656
b3049	P26649
b3050	P76657
b3051	P77306
b4664	C1P616
b4666	C1P617
b3052	P76658
b3053	P30870
b3054	P30871
b3055	P0ADT8
b3056	P06961
b3057	P60932
b3058	P0AC16
b3059	P60782
b3060	P45463
b3061	P05847
b3062	P0AC35
b3063	P39414
b3064	P05852
b3065	P68679
b3066	P0ABS5
b3067	P00579
b3068	P0A9H1
b3070	Q46871
b3071	P64588
b3072	P50466
b3073	P42588
b3074	P42589
b3075	P06846
b3076	P06864
b3077	P0AC73
b3078	P42590
b3079	P42591
b3080	P42592
b3081	P42593
b3082	P67701
b3083	P64578
b3084	P42596
b3085	P42597
b3086	P42598
b3087	P42599
b3088	P42601
b3089	P0AGE4
b3090	P42603
b3091	P42604
b3092	P0A8G3
b3093	P0AA78
b3094	P0ACL2
b3095	P0AA63
b3096	P42615
b3097	P42616
b3098	P64581
b3099	P64585
b3100	Q47710
b3101	P42619
b3102	P42620
b3103	P64590
b3104	P64592
b3105	P67660
b3106	P42624
b3107	P42625
b4470	P42626
b3110	P42628
b4471	P42630
b3113	P0AGL2
b3114	P42632
b3115	P11868
b3116	P0AAD8
b3117	P0AGF6
b3118	P0ACQ7
b3119	P11866
b3120	P11865
b3121	P11864
b3124	P23524
b3125	P0ABQ2
b3126	P23522
b3127	P0AA80
b3128	P39829
b3129	P15373
b3130	P64594
b3131	P0ACK2
b3132	P0C8K0
b3133	P42904
b3136	P42907
b3137	P0AB74
b3138	P42909
b3139	P42910
b3140	P42911
b3141	P42912
b3142	P42913
b3143	P42914
b3144	P42915
b3145	P43319
b3146	P67087
b3147	P45464
b3148	P45465
b3149	P66817
b3150	P64596
b3151	P45468
b3152	P45469
b3153	P45470
b3154	P67762
b3155	P45472
b3156	P63417
b3157	P64599
b3158	P45527
b3159	P45475
b3160	P0ADV5
b3161	P0AAD2
b3162	P0A9P6
b4685	C1P618
b3163	P0AFB1
b3164	P05055
b3165	P0ADZ4
b3166	P60340
b3167	P0A7G2
b3168	P0A705
b3169	P0AFF6
b3170	P0A8A8
b3172	P0A6E4
b3173	P42640
b3175	P0AG99
b3176	P31120
b3177	P0AC13
b3178	P0AAI3
b3179	P0C0R7
b3180	P0AGK4
b3181	P0A6W5
b3182	P24228
b3183	P42641
b3184	P0AA73
b3185	P0A7L8
b3186	P0AG48
b3187	P0AD57
b3188	P0ACH1
b3189	P0A749
b3190	P0A9W6
b3191	P64602
b3192	P0ADV7
b3193	P64604
b3194	P64606
b3195	P63386
b3196	P45394
b3197	P45395
b3198	P0ABZ4
b3199	P0ADV9
b3200	P0ADV1
b3201	P0A9V1
b3202	P24255
b3203	P0AFX0
b3204	P69829
b3205	P0A894
b3206	P0A9N0
b3207	P64610
b3208	P46022
b3209	P0ABU5
b3210	P0AEC3
b3211	P0ADW6
b3212	P09831
b3213	P09832
b3214	P28721
b3215	P28722
b3216	P45420
b3218	P0CE57
b3219	P45422
b3220	P45423
b3221	P45424
b3222	P45425
b3223	P0A761
b3224	P41036
b3225	P0A6L4
b3226	P0A8W0
b3227	P45428
b3228	P0AFZ3
b3229	P0ACA3
b3230	P0A7X3
b3231	P0AA10
b3232	P64612
b3233	P0ADW3
b3234	P39099
b3235	P0AEE3
b3236	P61889
b3237	P0A6D0
b3238	P64614
b3239	P64616
b3240	P46481
b3241	P46482
b3242	P46478
b3243	P67662
b3244	P0AGG8
b4472	P46474
b3247	P0A9J0
b3248	P25536
b3249	P0ABH4
b3250	P16926
b3251	P0A9X4
b3252	P13518
b3253	P26646
b3255	P0ABD8
b3256	P24182
b3257	P45566
b3258	P16256
b3259	P0A8T1
b3260	P0ABT5
b3261	P0A6R3
b3262	P28638
b3263	P64619
b3264	P0ACT2
b3265	P24180
b3266	P24181
b3267	P64622
b3269	P45767
b3270	P45768
b3271	P45769
b3279	P0A9W9
b3280	P45795
b3281	P15770
b3282	P45748
b3283	P45771
b3284	P0A828
b4473	P30852
b3287	P0A6K3
b3288	P23882
b3289	P36929
b3290	P0AGI8
b3291	P0A742
b4550	P36675
b3292	P0ACS5
b3293	P36677
b3294	P0AG44
b3295	P0A7Z4
b3296	P0A7V8
b3297	P0A7R9
b3298	P0A7S9
b3299	P0A7Q6
b3300	P0AGA2
b3301	P02413
b3302	P0AG51
b3303	P0A7W1
b3304	P0C018
b3305	P0AG55
b3306	P0A7W7
b3307	P0AG59
b3308	P62399
b3309	P60624
b3310	P0ADY3
b3311	P0AG63
b3312	P0A7M6
b3313	P0ADY7
b3314	P0A7V3
b3315	P61175
b3316	P0A7U3
b3317	P60422
b3318	P0ADZ0
b3319	P60723
b3320	P60438
b3321	P0A7R5
b3322	P03825
b3323	P45756
b3324	P45757
b3325	P45758
b3326	P45759
b3327	P41441
b3328	P41442
b3329	P41443
b3330	P45760
b3331	P45761
b3332	P45762
b3333	P45763
b3334	P36678
b3335	P25960
b3336	P0ABD3
b3337	P0AE56
b3338	P13656
b3339	P0CE47
b3340	P0A6M8
b3341	P02359
b3342	P0A7S3
b3343	P45530
b3344	P45531
b3345	P45532
b3346	P64624
b3347	P45523
b3348	P0A8R4
